Year,Closing Value,Return,Mean,Standard Deviation,Skewness,Kurtosis
2016,24870.69,-0.005334651,-0.00536172,0.003161356,4.760682787,8.587237695
,23002,-0.00461916,-0.004660538,0.002827888,5.104102092,10.20137395
,25341.86,0.004219931,0.004203138,0.002496113,-4.864779343,9.085996104
,25606.62,6.77E-04,6.61E-04,6.52E-04,-6.84720135,25.4591231
,26667.96,0.004657437,0.001134722,7.81E-04,-5.485096009,13.73008622
,26999.72,0.001050107,5.85E-05,4.70E-04,-4.342798715,30.92315982
,28051.86,0.002032569,0.00202368,0.001228803,-5.025364266,9.731346387
,28452.17,0.001556838,8.02E-05,3.85E-04,1.596316218,23.10515881
,27865.96,2.79E-04,2.69E-04,5.45E-04,-2.449467977,24.24111868
,27930.21,-8.35E-04,-8.39E-04,6.06E-04,6.739213334,22.31236483
,26652.81,-0.004144475,-0.00417883,0.002489663,4.848909378,8.920949827
,26626.46,2.52E-04,-6.54E-04,6.04E-04,7.397884873,23.79685157
2017,27655.96,0.00208407,0.002071293,0.001261326,-5.238738377,11.03623767
,28743.32,0.00109026,0.001086147,6.72E-04,-5.385129137,11.69213868
,29620.5,0.00211376,9.99E-04,6.40E-04,-5.556058357,12.98377988
,29918.4,-6.96E-04,-7.00E-04,4.97E-04,6.691360723,18.41185162
,31145.8,0.00388817,0.001695035,9.78E-04,-5.177661865,10.43160967
,30921.61,2.33E-05,2.15E-05,2.10E-04,1.074277404,20.92870263
,32514.94,0.002017486,0.002007112,0.001218054,-5.283643116,11.51199363
,31730.49,-0.002400142,-0.002409692,0.001444817,4.959920214,9.453021483
,31283.72,-1.05E-05,-2.09E-05,4.07E-04,1.337627694,32.75834308
,33213.13,0.002722649,0.002705057,0.001619158,-5.08358364,10.49068683
,33149.35,-0.001294205,-6.20E-04,4.63E-04,5.614632327,14.99600483
,34056.83,0.001719685,0.001708999,0.001056706,-5.481480082,12.41786736
2018,35965.02,0.005747661,0.003353738,0.001889398,-4.624830217,7.97678877
,34184.04,-0.004436148,-0.004447253,0.002616744,4.716145757,8.348013202
,32968.68,-0.002063242,-0.00207233,0.001294305,5.464364582,11.96964588
,35160.36,0.002672386,0.002653749,0.001603652,-5.266484171,11.60895284
,35322.38,1.42E-04,-2.49E-04,3.86E-04,6.023728952,19.56134925
,35423.48,4.67E-04,4.63E-04,4.18E-04,-5.621428388,14.05766391
,37606.58,0.005910422,0.003150064,0.001760731,-4.627413652,7.989580463
,38645.07,0.001387518,0.001378627,8.68E-04,-5.408204365,11.39066962
,36227.14,-0.002401477,-0.00242288,0.001493986,5.351942329,11.49967494
,34442.05,-0.005387837,-0.005415787,0.00322102,4.874128726,9.101545983
,36194.3,0.002506942,0.002494275,0.001530285,-5.353216028,11.68948704
,36068.33,-9.41E-04,-9.50E-04,7.64E-04,5.499122801,14.26384457
2019,36256.69,1.07E-05,-5.33E-04,5.24E-04,7.539111205,26.53361292
,35867.44,-8.65E-04,-8.73E-04,6.09E-04,6.355524206,16.53164167
,38672.91,0.004063279,0.004040624,0.002385475,-4.84224855,9.122069157
,39031.55,-2.15E-05,-2.46E-05,3.56E-04,0.767100591,18.6169428
,39714.2,-9.77E-04,-0.00101583,9.38E-04,7.773362567,31.30421941
,39394.64,-0.001721197,-0.001725945,0.001060011,5.154457873,10.30574824
,37481.12,-0.005409164,-0.002520113,0.00142784,4.875690493,8.981946313
,37332.79,3.45E-04,3.37E-04,5.82E-04,-3.429482571,18.75443185
,38667.33,0.002543997,0.00250058,0.001700481,-5.08810044,11.62094612
,40129.05,0.001083709,0.001060775,8.56E-04,-8.740868262,36.39279644
,40793.81,8.16E-04,8.13E-04,5.53E-04,-5.853515524,13.94750179
,41253.74,5.83E-04,5.76E-04,4.57E-04,-5.896507028,14.62372786
2020,40723.49,-0.001331722,1.24E-04,4.40E-04,-4.480233544,25.82839745
,38297.29,0.002231417,0.002192216,0.001600456,-4.792367573,14.10522773
,29468.49,-0.016607755,-0.016758234,0.010185065,5.031725801,9.707170711
,33717.62,0.008967488,0.008836428,0.005425743,-5.243430322,11.08967052
,32424.1,-0.001334954,-0.001308252,0.001222352,5.21318189,16.76173983
,34915.8,0.003021589,0.002726141,0.001708588,-5.541553859,12.207006
,37606.89,0.005727482,0.004227105,0.002461601,-4.835565404,8.94308892
,38628.29,0.003932096,0.003574712,0.002113625,-4.884399051,9.229494691
,38067.93,-0.001514975,-0.001298861,0.001001137,5.788828609,15.90852778
,39614.07,0.003815852,0.003432546,0.002051998,-5.085092574,10.29506989
,44149.72,0.00813497,0.007452061,0.004324666,-4.622501357,7.978222052
,47751.33,0.0038588,0.003205768,0.001925061,-5.338971562,11.91038372
