Year,Closing Value,Return,Mean,Standard Deviation,Skewness,Kurtosis
2016,7563.55,-0.006142299,-0.006176442,0.003644597,4.77148132,8.639003883
,6987.05,-0.005389968,-0.005441084,0.003299766,5.109102098,10.23320865
,7738.4,0.004997607,0.004974338,0.002953206,-4.870726782,9.141445279
,7849.8,0.001069502,0.001050026,8.55E-04,-6.743327112,20.96792539
,8160.1,9.57E-04,9.24E-04,9.57E-04,-7.985932723,36.31326451
,8287.75,1.61E-04,1.53E-04,5.50E-04,-5.495052399,29.50469886
,8638.5,1.61E-04,1.53E-04,5.50E-04,-5.495052399,29.50469886
,8786.2,5.72E-05,5.01E-05,5.08E-04,-0.275753491,23.64046258
,8611.15,1.19E-04,1.08E-04,5.91E-04,-1.76338515,24.65737128
,8625.7,-8.99E-04,-9.03E-04,6.62E-04,6.727769543,22.45815358
,8224.5,-0.001334925,-0.004796948,0.003003067,5.072914033,10.05013484
,8185.8,-8.76E-05,-0.001033912,8.22E-04,6.949134175,20.21303885
2017,8561.3,0.002774087,0.002753658,0.001668996,-5.176697738,10.74192023
,8879.6,0.001220312,0.001216233,7.49E-04,-5.313883841,11.24635865
,9173.75,0.001241684,0.001232054,8.29E-04,-5.825472621,14.21935108
,9304.05,-2.73E-04,-2.78E-04,3.59E-04,6.665379008,26.23301843
,9621.25,0.001443392,0.00143174,9.52E-04,-6.158200086,16.2986058
,9520.9,-1.02E-04,-1.05E-04,2.61E-04,4.565587348,24.33461471
,10077.1,0.002636688,0.002621491,0.001576428,-5.182570031,11.07115662
,9917.9,-0.002309552,-0.002319561,0.0014146,5.149355429,10.29801473
,9788.6,4.51E-05,3.18E-05,4.77E-04,-0.057527561,30.87731995
,10335.3,0.003037031,0.003021192,0.001794082,-4.917873469,9.481193639
,10226.55,-0.001201304,-0.00120784,7.91E-04,5.58396773,12.36334651
,10530.7,0.002130475,0.002115481,0.001303662,-5.437888727,12.18744935
2018,11027.7,0.003421323,0.00339097,0.002009533,-4.927771606,9.628501079
,10492.85,-0.004827364,-0.004839447,0.002849154,4.720626917,8.364284443
,10113.7,-0.002350643,-0.002362946,0.001478909,5.492956881,12.10659516
,10739.35,0.002739403,0.002722861,0.001653043,-5.268533393,11.51328911
,10736.15,-5.35E-04,-5.43E-04,5.24E-04,6.977136101,20.04184096
,10714.3,-0.002267901,3.50E-04,5.81E-04,-8.748218789,41.05056063
,11356.5,0.003329999,0.003305768,0.001988647,-5.270425003,11.78491299
,11680.5,0.001431533,0.001421226,9.16E-04,-5.817169217,13.93853814
,10930.45,-0.00265479,-0.002680479,0.001693136,5.869964883,14.89194454
,10386.6,-0.006269497,-0.006306101,0.003757638,4.895682238,9.199114674
,10876.75,0.002491779,0.00248012,0.001538756,-5.487782978,12.38387006
,10862.55,-0.001035847,-0.001047003,8.51E-04,5.496564873,14.14961611
2019,10830.95,-7.77E-04,-9.98E-04,7.44E-04,6.767041912,19.47867069
,10792.5,-5.88E-04,-5.96E-04,5.07E-04,7.317863681,23.60039856
,11623.9,0.004403013,0.004379202,0.002590035,-4.865629341,9.2315378
,11748.15,-1.97E-05,-2.38E-05,4.08E-04,0.563433903,18.95997523
,11922.8,-0.001196052,-0.001239263,0.001083334,7.741276937,29.76194363
,11788.85,-0.002216285,-0.002222503,0.001347916,5.034416691,9.754725346
,11118,-0.006953642,-0.003151517,0.001777493,4.869874345,8.965717997
,11023.25,-2.26E-05,-3.16E-05,6.24E-04,1.063487864,19.01761352
,11474.45,0.003233208,0.003179099,0.002103655,-5.168134393,11.34636333
,11877.45,0.001233062,0.001207927,9.47E-04,-8.478878818,34.08826666
,12056.05,6.60E-04,6.56E-04,5.07E-04,-6.109465085,16.45864721
,12168.45,4.33E-04,4.25E-04,4.31E-04,-5.569012591,15.50330411
2020,11962.1,-0.001935243,3.46E-06,4.93E-04,-2.427915641,23.73830752
,11201.75,0.002504743,0.002452274,0.001827053,-4.597947052,14.39462523
,8597.75,-0.017633242,-0.018772294,0.011444564,5.046086629,9.792672571
,9859.9,0.010451126,0.010298026,0.006287154,-5.187060295,10.80008782
,9580.3,-0.00116509,-0.001206409,0.00131569,4.070522106,16.90152761
,10302.1,0.003181012,0.00315184,0.001983252,-5.53595635,12.18664302
,11073.45,0.006460575,0.004704448,0.002738064,-4.83699414,8.944407808
,11387.5,0.004137258,0.004119986,0.002441649,-4.865106151,9.160043206
,11247.55,-0.001236247,-0.001262921,0.001054958,5.482750917,15.90533088
,11642.4,0.003443427,0.003429688,0.002066574,-5.134260027,10.5564807
,12968.95,0.008197347,0.008134116,0.004750061,-4.662338314,8.183725253
,13981.75,0.003502308,0.003470308,0.00212764,-5.568538918,13.28625509
